Frameworx Function,Description,Function Identifier,Frameworx Application (containing),Vertical Group,Frameworx Domain,Issue
Access Path Procurement,Access Path Procurement; The Access Path Procurement function obtains access paths to the customer or service location through supply chain (internal or external) which is managed or delegated in the form of a resource order or a resource facing service order.,938,Procure Access,Fulfillment,Service Domain,
Access Provider Selection,"Access Provider Selection function selects an access provider among identified available access providers or access technologies at the given location, based on business rules.",735,Determine Access Provider,Fulfillment,Service Domain,Application Framework 21.0 Modification
Account Balance Thresholds Actions Configuration,Account Balance Thresholds Actions Configuration records definition of policies per balance or balance type of threshold actions and notification,46,Balance Management,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Account Data to Business Intelligence Reporting,Account Data to Business Intelligence Reporting prepares account revenue details to be gathered into Business Intelligence data warehouse to facilitate decision support.,730,Financial Reporting,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Account Proof and Balance Reporting,Account Proof and Balance Reporting provides a Financial Reporting function to  provide data presenting summaries of the financial activities of customer accounts. It includes a set of debt aging reports and proof & balance reports.,728,Financial Reporting,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Account Receivable Balance Transferring,Account Receivable Balance Transfering; Accounts Receivable (A/R) Management function of Applying adjustments and balance transfer: Adjustments to be carried out (manually or in bulk) or transfer of transactions to customers’ accounts after corrections,28,A/R Management,Billing & Revenue Management,Customer Domain,
Account Receivable Debit/Credit Matching,Account Receivable Debit/Credit Matching function allocates/assigns receivables within customers account: Match credit and debit entries related to a same process. The most common example is matching payment(s) to corresponding invoices or invoice items. The matching does not affect the global balance but eases the clerical tasks.,26,A/R Management,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Account Receivable Direct Debiting,Account Receivable Direct Debiting provides Direct debit by generating flows of requests for direct debits. It is based upon the billing accounts and on the banks' opening schedule.,27,A/R Management,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Account Receivable General Ledger Posting,"Account Receivable General Ledger Posting: Recording of revenues and expenses at the General Ledger level provide necessary tools to maintain the customer account receivable.  Aggregate customer accounts for general ledger:  Group receivables by type of customer accounts, through grouping of individual customers’ A/R accounts",25,A/R Management,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Accounting Event Creation,"The Accounting Event Creation function sends information produced by rating and/or invoicing functions to the accounting functionality, including the period end (a.k.a. “cut-off”) accounting entries.",29,A/R Management,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Accounts Payable Global Accounting,Accounts Payable Global Accounting provide global accounting in the field of accounts payable. Companies with locations in other countries face challenges when trying to adhere to required accounting principles that differs across the world. Global accounting is a field that is developing to address these issues.,812,Accounts Payable,,Enterprise Domain,Application Framework 21.0 Modification
Accounts Payable Invoice Management,Accounts Payable Invoice Management provides accounts payable invoice and payments management,811,Accounts Payable,,Enterprise Domain,Application Framework 21.0 Modification
Accounts Payable Reconciliation,Accounts Payable Reconciliation verifies that the detailed total of all accounts payable outstanding matches the payables account balance stated in the general ledger. Doing so ensures that the amount of accounts payable reported in the balance sheet is correct.,865,General Ledger Account Reconciliation,,Enterprise Domain,Application Framework 21.0 Modification
Accounts Payable Reporting,Accounts Payable Reporting; Financial Core Operations Reporting for Accounts Payable Reporting,838,Financial Core Operations Reporting,,Enterprise Domain,
Accounts Payable Supplier Management,Accounts Payable Supplier Management function to provide the required functionality to maintain all of a company's creditors.,813,Accounts Payable,,Enterprise Domain,Application Framework 21.0 Modification
