Frameworx Application,Category,Application Identifier,Overview,Frameworx Function (contained by),Frameworx Domain (Horizontal),Maturity Level,Frameworx Status,LV1,LV2,LV3,LV4,LV5,LEVEL,PARENT,Status
Sales Aids,(1) TAM Application Type,3.2,The Sales Aids Application provides access to methods and procedures as well as product information and other collateral that can be used to assist in making a sale.,,Market Sales Domain,4,Released,3,2,,,,1,3,1
Sales Job Aids,(2) TAM Application Type,3.2.1,"The Job Aids Application provides access to needed job aids, methods and procedures to assist in performing various sales.","Sales Job Aid Wizards
Sales Job Quick Reference Guide
Sales Product Support",Market Sales Domain,4,Released,3,2,1,,,2,3.2,1
Sales Product Support,(2) TAM Application Type,3.2.2,The Product Support application provides access to product information on the various products being sold by the service provider.,Sales Product Support,Market Sales Domain,4,Released,3,2,2,,,2,3.2,1
Compensation & Results,(1) TAM Application Type,3.3,"The Compensation & Results application includes all functionality necessary to manage the compensation to a seller & sales performance against quotas, new sales and billed revenue, calculation of the compensation plans and results reporting.","Compensation payment and reporting
Compensation plan management",Market Sales Domain,4,Released,3,3,,,,1,3,1
Sales Compensation,(2) TAM Application Type,3.3.1,Sales Compensation applications provide the required functionality to determine the appropriate compensation based on sales results.,Compensation plan management,Market Sales Domain,4,Released,3,3,1,,,2,3.3,1
Compensation Results Reporting,(2) TAM Application Type,3.3.2,Compensation Results Reporting applications provide compensation based reporting.,Compensation payment and reporting,Market Sales Domain,4,Released,3,3,2,,,2,3.3,1
Channel Sales Management,(1) TAM Application Type,3.4,"The Channel Sales Management application provides the necessary functionality to sell to a number of specific sales channels.
Area contains several level 2 applications, each supporting different channels. 

This application contains core functionality shared amongst level 2 applications, and functionality specific to each channel.
 
This section is organized to reflect Common Functionality, then addresses the specificities of each channel:  
•Direct sales force (also known as field sales) –   most handling corporate and medium sized businesses [see section]       •Telesales / ordering department – selling over the   phone to consumers and small businesses 
•Retail outlets – the Telco’s branded retail   stores, (mostly common in Wireless communication provides and mostly serving   consumers and small businesses)       
•Dealers – 3rd party retailers that sell the   communications service provider’s services, mostly to consumers       
•VNOs – Virtual Network Operators, that sell their   own branded services over the communications service provider’s network       Affiliates",,Market Sales Domain,4,Released,3,4,,,,1,3,1
Direct Sales Force,(2) TAM Application Type,3.4.1,"The Direct Sales Force application is used by CSR’s, Field Sales, Sales Administrators, Analysts and Managers to generate/qualify sales opportunities, generate revenue, maintain and optimize the sales process, territories, quotas, view forecasts.
As a Customer Service Representative (CSR), you have first contact with potential customers. Incoming telephone calls and emails enable you to capture customer information and qualify leads according to the guidelines set by your company (cf Customer Information Management). If the lead satisfies your criteria, you can promote that lead to the status of a contact, and an opportunity. Sales opportunities are dispatched to sales representatives in the field to pursue if the size of the sale has the potential to exceed agreed monetary thresholds. If not, you can respond directly to customer inquiries by creating and dispatching literature requests and/or sales quotations. Orders are submitted for processing when you receive acceptance for the contract that has been negotiated with the customer (cf. Order Management).
A user of the Direct Sales application can have one of the following roles:
• Customer Service Representative (CSR). As a CSR or agent, you generate and qualify sales opportunities and dispatch leads to field sales representatives. Your primary method of communication with the customer is by phone and email. 
• Field Sales Representative. As a field sales representative, you create and manage customer accounts, develop sales opportunities, and generate revenue. 
• Sales Administrator. As a Sales Administrator, you manage the design and maintenance of the overall sales process and stages in the sales cycle according to business requirements. 
• Sales Analyst. As a Sales Analyst, you manage sales territories and quotas and generate sales forecasts and pipeline analyses. 
• Sales Manager. As a Sales Manager, you define sales territories, and manage the sales process and forecasting.","Direct Sales Force Management
Opportunities Dispatching
Opportunity & Quote Management
Sales Forecast Analysis",Market Sales Domain,4,Released,3,4,1,,,2,3.4,1
Telesales,(2) TAM Application Type,3.4.2,"Some Communication Service Providers use the customer service call center agents as a sales channel and allow them to sell and order services for customers who are calling in (reactive sales). Other Communication Service Providers have a dedicated call center for taking orders that is separate from the customer service call center. The Telesales call center does both reactive and proactive sales efforts.
An application geared for Telesales should provide the following benefits:
• Quick time-to-market for new and advanced services Improved quality of service and minimum faulty orders 
• Increased customer satisfaction and loyalty 
• Reduced churn Benefits from the Telesales agent’s perspective 
• Simplified application flow Shorter training time 
• Shorten calls 
• Complete visibility to order status at all times 
• Open, standards-based integration capabilities leverages current investments 
• Faster response time to business needs","Telesales CTI tools
Telesales customer and order tools
Telesales Scripts Management",Market Sales Domain,4,Released,3,4,2,,,2,3.4,1
Retail Outlets,(2) TAM Application Type,3.4.3,"One of the primary sales channels for Wireless Communication Service Providers is the provider’s own retail stores. Currently, other communications sectors rely less on this channel due to the fact that non-Wireless services typically need to be physically installed on the customer’s premises, whereas in wireless communications the customer typically gets services instantly at the retail store/point of sale. Non-wireless services providers may use retail outlets as a means to complete an order (e.g., for customers that want to pick up a DSL modem from a retail outlet to complete their order in order to avoid payment of shipping costs).Retail stores are considered an extension of the call center in the sense that existing customers may walk in and ask for assistance in customer service issues (e.g., billing, how to operate their handset, etc.). In other words, Retail Stores are not only used as Point of Sale but also used as Point of Service.","Points of Sales Management
Retail Integration
Retail Outlet Billing
Retail Outlet Contact and retention management
Retail Outlet Customer information management
Retail Outlet Order capture and negotiation
Retail Outlet Problem resolution",Market Sales Domain,4,Released,3,4,3,,,2,3.4,1
Dealers,(2) TAM Application Type,3.4.4,"Dealers are 3rd party retailers that sell the services of the Communication Service Provider and get commission for those sales. 
Dealers vary in size and can range from a country wide retail chain to a local retail shop in a rural area. Some dealers sell the services of multiple Communication Service Providers and some are exclusive to one Communication Service Provider.
Dealers focus on acquiring new customers and upgrading existing customers. Most dealers are only a Point of Sale and not a Point of Service (as opposed to the Communication Service Provider’s owned retail stores). The dealer’s main focus is to acquire new customers or upgrade existing customers. The main need for a dealers online application is to make them self-sufficient and avoid the need for them to call the call center on behalf of a customer to activate their handset.","Commissioning Management
Dealer customer information management
Dealer customer order management
Dealers products, services and promotions data enquiry
View dealer commission statements",Market Sales Domain,4,Released,3,4,4,,,2,3.4,1
Virtual Network Operators (Dealers),(2) TAM Application Type,3.4.5,"Virtual network operators are typically service providers that do not own their own network but sell communications services under their own brand on top of another service provider’s network. Some VNOs also do not own their own Business Support Systems (BSS) and “lease” these systems from the network provider that provides their network services. Such VNOs are the focus of this section. The network provider that “leases” the business support systems to the VNO should therefore provide a separate online application for the VNO agents to be able to manage their customers, and handle fulfillment, assurance and billing issues for these customers.","Billing Management Activities
Customer information management
Order capture and negotiation
Problem resolution
Receivables and Collection activities
Retail Outlet Contact and retention management
Virtual network Data fencing
VNO Personalization",Market Sales Domain,4,Released,3,4,5,,,2,3.4,1
Affiliates,(2) TAM Application Type,3.4.6,"Some service providers have affiliate companies that may feed in orders. An example could be a Wireless Communication Service Provider that has an affiliate Wireline Communication Service Provider that wants to bundle its Wireline services with the affiliate’s wireless services. When the affiliate sells the bundle, it will need to notify the wireless service provider of the sale, and the wireless service provider may need to assist in completing the order.","Activation of service/product sold by affiliate
Mass Service/product pre-activation
Mass transaction feed of new orders
Registration of pre activated service/product",Market Sales Domain,4,Released,3,4,6,,,2,3.4,1
Sales Portals,(1) TAM Application Type,3.7,"Sales Portals provide a single entry place for sellers to access various sales tools. Sales Portals are used by both direct and indirect sellers. There are different content, links, and capabilities offered for a given kind of seller.",,Market Sales Domain,4,Released,3,7,,,,1,3,1
Internal Sales Portals,(2) TAM Application Type,3.7.2,Internal Sales Portals provide sales tools to internal sales groups.,Internal sales portal function,Market Sales Domain,4,Released,3,7,2,,,2,3.7,1
Indirect Sales Portals,(2) TAM Application Type,3.7.3,Indirect Sales Portal provides sales tools to indirect sales teams.,Indirect Sales Portal Function,Market Sales Domain,4,Released,3,7,3,,,2,3.7,1
Contract Management,(1) TAM Application Type,3.8,Contract Management applications provide necessary functionality to facilitate a contract pertaining to a given customer solution.,,Market Sales Domain,4,Released,3,8,,,,1,3,1
