FROM_TABLE,FROM_KEY,TO_TABLE,TO_KEY,SOURCE,MATURITY_LEVEL,MEMO
SID_ABE,Market Sales Domain,SID_ABE,top,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Competitor ABE,SID_ABE,Market Sales Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Competitor Intelligence ABE,SID_ABE,Competitor ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Competitor Product Correlation ABE,SID_ABE,Competitor ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Contact Lead Prospect ABE,SID_ABE,Market Sales Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Market & Sales Strategy Plan ABE,SID_ABE,Market Sales Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Market Sales Forecast ABE,SID_ABE,Market Sales Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Market Sales Party Roles ABE,SID_ABE,Market Sales Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Market Sales Statistics ABE,SID_ABE,Market Sales Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Market Segment ABE,SID_ABE,Market Sales Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Marketing Campaign ABE,SID_ABE,Market Sales Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Sales Channel ABE,SID_ABE,Market Sales Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Sales Commission ABE,SID_ABE,Market Sales Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Customer Domain,SID_ABE,top,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Applied Customer Billing Rate ABE,SID_ABE,Customer Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Applied Customer Billing Rate Spec ABE,SID_ABE,Applied Customer Billing Rate ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Customer Bill ABE,SID_ABE,Customer Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Customer Billing Statistic ABE,SID_ABE,Customer Bill ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Customer Bill Collection ABE,SID_ABE,Customer Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Customer Payment ABE,SID_ABE,Customer Bill Collection ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Customer Domain Dunning ABE,SID_ABE,Customer Bill Collection ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Customer Bill Inquiry ABE,SID_ABE,Customer Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Customer Billing Account ABE,SID_ABE,Customer Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Customer Billing Credit ABE,SID_ABE,Customer Billing Account ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Customer Interaction ABE,SID_ABE,Customer Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Customer Party Roles ABE,SID_ABE,Customer Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Customer Problem ABE,SID_ABE,Customer Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Customer Product Order ABE,SID_ABE,Customer Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Customer Service Level Agreement ABE,SID_ABE,Customer Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Customer Statistic ABE,SID_ABE,Customer Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Product Domain,SID_ABE,top,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Loyalty ABE,SID_ABE,Product Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Loyalty Program ABE,SID_ABE,Loyalty ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Loyalty Program Specification ABE,SID_ABE,Loyalty ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Product ABE,SID_ABE,Product Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Example Product Entities ABE,SID_ABE,Product ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Network Product ABE,SID_ABE,Product ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Product Price ABE,SID_ABE,Product ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Usage Volume Product ABE,SID_ABE,Product ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Product Capacity ABE,SID_ABE,Product Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Product Configuration ABE,SID_ABE,Product Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Product Action ABE,SID_ABE,Product Configuration ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Product Offering ABE,SID_ABE,Product Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Pricing Logic Algorithm ABE,SID_ABE,Product Offering ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,PLA Spec ABE,SID_ABE,Pricing Logic Algorithm ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Product Catalog ABE,SID_ABE,Product Offering ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Product Offering Price ABE,SID_ABE,Product Offering ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Product Offering Price Rule ABE,SID_ABE,Product Offering ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Product Offering Price Tax ABE,SID_ABE,Product Offering ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Product Placement ABE,SID_ABE,Product Offering ABE,Information_Framework_SID_Excel_Format_v21.0,4,
