ID,NAME,DESCRIPTION,DOMAIN,LEVEL,PARENT
CompetitiveTier.perspective,perspective,"How the CompetitiveTier is viewed, such as vertical or horizontal.",,0,CompetitiveTier
CompetitiveTier.perspectiveCharacteristic,perspectiveCharacteristic,"A feature or quality that further describes the perspective recognizable, such as consumer, business, carrier, size, usage, customer, and so forth. For example, a consumer vertical market perspective.",,0,CompetitiveTier
CompetitiveTier.size,size,"How big the Competitor is, such as small, medium, large, compared to other Competitors.",,0,CompetitiveTier
Competitor.dateCreated,dateCreated,The date on which interest was first shown for the Competitor.,,0,Competitor
PartyRole.status,status,"Used to track the lifecycle status, e.g. existing, prospective or former customers.",,0,PartyRole
PartyRole.validFor,validFor,The time period that the PartyRole is valid for,,0,PartyRole
RootEntity.ID,ID,Unambiguously distinguishes different object instances.,,0,RootEntity
RootEntity.description,description,"This is a string, and defines a textual free-form description of the object. Notes: This attribute doesn’t exist in M.3100. The CIM has two attributes for this purpose, Caption (a short description) and Description.",,0,RootEntity
RootEntity.name,name,"Represents a user-friendly identifier of an object. It is a (possibly ambiguous) name by which the object is commonly known in some limited scope (such as an organization) and conforms to the naming conventions of the country or culture with which it is associated. It is NOT used as a naming attribute (i.e., to uniquely identify an instance of the object).",,0,RootEntity
CompetitorMarketSegment.plannedMarketEntryDate,plannedMarketEntryDate,The date on which a Competitor plans to offer ProductOfferings in a MarketSegment.,,0,CompetitorMarketSegment
CompetitorMarketSegment.rank,rank,The degree of importance or excellence of a Competitor in a MarketSegment relative to other Competitors in the MarketSegment.,,0,CompetitorMarketSegment
CompetitorMarketSegment.validFor,validFor,The period during which the CompetitorMarketSegment information is applicable.,,0,CompetitorMarketSegment
CompetitorMarketSegmentSWOT.description,description,"A narrative that further details the strength, weakness, opportunity, or threat for a Competitor in a MarketSegment.",,0,CompetitorMarketSegmentSWOT
CompetitorSWOT.description,description,"A narrative that further details the strength, weakness, opportunity, or threat.",,0,CompetitorSWOT
CompetitorTier.description,description,A narrative that further details the Competitor's placement in a CompetitiveTier.,,0,CompetitorTier
SWOT.swotType,swotType,"A category of organizational analysis, such as strength (S), weakness (W), opportunity (O), threat (T).",,0,SWOT
CompetitorIntelCharacteristic.ID,ID,A unique identifier for the CompetitorIntelCharacteristic.,,0,CompetitorIntelCharacteristic
CompetitorIntelCharacteristic.derivationFormula,derivationFormula,"A rule or principle represented in symbols, numbers, or letters, often in the form of an equation used to derive the value of a characteristic value.",,0,CompetitorIntelCharacteristic
CompetitorIntelCharacteristic.description,description,A narrative that explains what the characteristic is.,,0,CompetitorIntelCharacteristic
CompetitorIntelCharacteristic.extensible,extensible,An indicator that specifies that the values for the characteristic can be extended by adding new values when instantiating a characteristic for an Entity.,,0,CompetitorIntelCharacteristic
CompetitorIntelCharacteristic.maxCardinality,maxCardinality,"The maximum number of instances a CharacteristicValue can take on. For example, zero to five phone numbers in a group calling plan, where five is the value for the maxCardinality.",,0,CompetitorIntelCharacteristic
CompetitorIntelCharacteristic.minCardinality,minCardinality,"The minimum number of instances a CharacteristicValue can take on. For example, zero to five phone numbers in a group calling plan, where zero is the value for the minCardinality.",,0,CompetitorIntelCharacteristic
CompetitorIntelCharacteristic.name,name,"A word, term, or phrase by which the characteristic is known and distinguished from characteristics.",,0,CompetitorIntelCharacteristic
CompetitorIntelCharacteristic.unique,unique,"An indicator that specifies if a value is unique for the specification. Possible values are; ""unique while value is in effect"" and ""unique whether value is in effect or not""",,0,CompetitorIntelCharacteristic
CompetitorIntelCharacteristic.validFor,validFor,The period of time for which a characteristic is applicable.,,0,CompetitorIntelCharacteristic
CompetitorIntelCharacteristic.valueType,valueType,"A kind of value that the characteristic can take on, such as numeric, text, and so forth.",,0,CompetitorIntelCharacteristic
CompetitorIntelCharacteristicValue.fromValue,fromValue,The low range value that a characteristic can take on.,,0,CompetitorIntelCharacteristicValue
CompetitorIntelCharacteristicValue.isDefault,isDefault,Indicates if the value is the default value for a characteristic.,,0,CompetitorIntelCharacteristicValue
