ID,NAME,DESCRIPTION,DOMAIN,LEVEL,PARENT
CompetitiveTier,CompetitiveTier,サイズ、製品ラインなど、競合他社の分類など。,Market Sales Domain,1,Competitor ABE
Competitor,Competitor,パーティーロールをプレイするパーティーロールは、マーケンセグメントで企業の製品専門事項に似たProductoffiringsを提供します。,Market Sales Domain,1,Competitor ABE
CompetitorMarketSegment,CompetitorMarketSegment,競合他社が提供しています。,Market Sales Domain,1,Competitor ABE
CompetitorMarketSegmentSWOT,CompetitorMarketSegmentSWOT,競争相手の奉仕者による強さ、衰弱、機会、または脅威。,Market Sales Domain,1,Competitor ABE
CompetitorSWOT,CompetitorSWOT,一般（マーケンスの具体的な）競合他社と比較したときの強さ、弱さ、機会、または脅威。,Market Sales Domain,1,Competitor ABE
CompetitorTier,CompetitorTier,競合他社が配置されている階層レベル。,Market Sales Domain,1,Competitor ABE
SWOT,SWOT,競合他社と比較したときに企業が持っている強さ、脱力、機会、脅威（swot）。 SWOT分析は、組織の成長機会を特定しフレーミングするという正式な枠組みです。,Market Sales Domain,1,Competitor ABE
AtomicCompIntelCharacteristic,AtomicCompIntelCharacteristic,下位のコンパンス菌、すなわち原子平均特性は、葉レベルのコンパンス選択性である、コンパンス選択性の一種です。,Market Sales Domain,1,Competitor Intelligence ABE
CompetitorIntelCharacteristic,CompetitorIntelCharacteristic,"競合した競合点の特徴的な品質または特徴的な特徴。この特性は、プレスリリースの数などの離散値を取ることができ、値の範囲を取ることができます（たとえば、市場セグメント内の数の顧客（50,000~100,000）、または式から派生させることができます。 MaketSegmentで提供されている製品の数=マーケージセグメントに関連付けられている競合他社のProductOfFerrngインスタンスの数。",Market Sales Domain,1,Competitor Intelligence ABE
CompetitorIntelCharacteristicValue,CompetitorIntelCharacteristicValue,CompIntelCacteristicに割り当てることができる数またはテキスト。,Market Sales Domain,1,Competitor Intelligence ABE
CompetitorIntelligence,CompetitorIntelligence,事実は競合他社の計画と活動について集まった。これらの事実は、競技者をよりよく理解するために競合他社の分析を実行するために使用することができます。,Market Sales Domain,1,Competitor Intelligence ABE
CompetitorIntelligenceMarketSegment,CompetitorIntelligenceMarketSegment,競技者がプロダクト事業所を利用可能にする市場。,Market Sales Domain,1,Competitor Intelligence ABE
CompetitorIntelligencePartyRole,CompetitorIntelligencePartyRole,競争点の点滅を開発したパーティーロール。,Market Sales Domain,1,Competitor Intelligence ABE
CompositeCompIntelCharacteristic,CompositeCompIntelCharacteristic,複合材料または原子状のコンプティクステリス代理学的であり得る他のコンパクトマクテリシススティストを集約することによって形成される一種のコンパクトラクテスティック。,Market Sales Domain,1,Competitor Intelligence ABE
AtomicCompProdCorrelationCharacteristic,AtomicCompProdCorrelationCharacteristic,競合した競合物質特性を持たない競合他社のプロドカッテス特性の一種、すなわち原子集団共決特性は、葉レベルのCompProdcorrateChericationScorticalsです。,Market Sales Domain,1,Competitor Product Correlation ABE
CompProdCorCharacteristicValue,CompProdCorCharacteristicValue,CompProdcorrelationCharacticalisticに割り当てることができる数またはテキスト。,Market Sales Domain,1,Competitor Product Correlation ABE
CompProdCorrelationCharacteristic,CompProdCorrelationCharacteristic,競合的生産性共相関の特徴的な品質または特徴的な特徴。特性は、地理的な支払い（中央、国家、カスケード）などの離散的な価値で、さまざまな値を取ることができます。 （たとえば、相関関係のある時代の数=この相関に関連する市場の数の数）。,Market Sales Domain,1,Competitor Product Correlation ABE
CompetitorProductCorrelation,CompetitorProductCorrelation,企業のプロダクト社の製品専門事項を備えた企業の製品の比較または関係。相関に関する情報は、市場シグメントを含み得る。,Market Sales Domain,1,Competitor Product Correlation ABE
CompositeCompProdCorrelationCharacteristic,CompositeCompProdCorrelationCharacteristic,他の競合物性生殖管を凝集させることによって形成される競合他社生成物共相関の種類は、複合または原子的競合相互作用能力であり得る。,Market Sales Domain,1,Competitor Product Correlation ABE
MarketStrategy,MarketStrategy,適切なProductOfferingsとSaleschanneslを使用して、市場に対処する方法について慎重に考案された行動計画。,Market Sales Domain,1,Market & Sales Strategy Plan ABE
MarketingManager,MarketingManager,MarketingManagerは、パーティーによって演奏された役割です。 MarketingManagerはマーケティング管理プロセスに責任があります。それは製品やサービス、広告、プロモーション、販売のための販売のための戦略と計画を開発するプロセスです。,Market Sales Domain,1,Market Sales Party Roles ABE
SalesAgent,SalesAgent,セレッジは、パーティーによって演奏された役割です。セレジャーは、サービスプロバイダーのプロダクト専門事項を卸売顧客および/または小売業者に販売する責任があります。,Market Sales Domain,1,Market Sales Party Roles ABE
AtomicMarketStatistic,AtomicMarketStatistic,下位のマーケットスタティスティシスティスティックを持っていないタイプの選択的スタティスティック、つまりAtomicMarketStatisticは、リーフレベルの最終的です。,Market Sales Domain,1,Market Sales Statistics ABE
CompositeMarketStatistic,CompositeMarketStatistic,コンポジットまたはアトミックマーケットスタティスティズムであり得る他の市場スタティスティックを集約することによって形成されるタイプの選択的スタティスティック。,Market Sales Domain,1,Market Sales Statistics ABE
MarketStatistic,MarketStatistic,マーケンセグメントによるパフォーマンス測定の分類パフォーマンスは、ServiceProviderと市場の納入業者の競合他社について測定されます。,Market Sales Domain,1,Market Sales Statistics ABE
AtomicMarketSegment,AtomicMarketSegment,下位の市場セグメントを持っていないタイプのマーケージセグメント、つまりアトミックマーケットセグメントは、リーフレベルのマーケージです。,Market Sales Domain,1,Market Segment ABE
AtomicMarketSegmentCharacteristic,AtomicMarketSegmentCharacteristic,下位の市場身分特性を持たないタイプのマーケンマンス属性、すなわち、アトミックマーケットセカンマンス菌は、リーフレベルのマーケンマンスティックスティックなものです。,Market Sales Domain,1,Market Segment ABE
CompositeMarketSegment,CompositeMarketSegment,他の市場の集約によって形成されるタイプのマーケージセグメントは、複合または原子的な市場であり得る。,Market Sales Domain,1,Market Segment ABE
CompositeMarketSegmentCharacteristic,CompositeMarketSegmentCharacteristic,コンポジットまたはアトミックマーケンマンスリスティストである可能性がある他の市場系統特性を集約することによって形成されるタイプのマンスマンスリ特性の一種。,Market Sales Domain,1,Market Segment ABE
MarketSegment,MarketSegment,パーティー、地理的エリア、セールスチャネルなどのグループ化。マーケージセグメントは、内部と外部（競合他社、およびその他のプロバイダ）の両方からのMarketingCampaign、Productffaignes、ProductPromotion、ProductPrograms、および製品プログラムのターゲットです。,Market Sales Domain,1,Market Segment ABE
MarketSegmentCharacteristic,MarketSegmentCharacteristic,"市場セグメントの特徴的な品質または独特の特徴。特性は、性別などの離散的な価値を取ることができ、値の範囲を取ることができます（たとえば、50,000ドル -  10万ドルの家計収入）、または式から導き出すこともできます（たとえば、世帯数=数）。顧客パーティーの役割の役割）",Market Sales Domain,1,Market Segment ABE
MarketSegmentCharacteristicValue,MarketSegmentCharacteristicValue,マーケンマンスリ特性に割り当てることができる数字またはテキスト。,Market Sales Domain,1,Market Segment ABE
AtomicMarketingCampaignCharacteristic,AtomicMarketingCampaignCharacteristic,下位のマーケティングキャンプ官報を持っていないマーケティングキャンペング特性の一種、すなわちAtomicMarketingCampaign特性は、葉レベルのマーケティングキャンペング特性である。,Market Sales Domain,1,Marketing Campaign ABE
CompositeMarketingCampaignCharacteristic,CompositeMarketingCampaignCharacteristic,コンポジットまたは原子マーケティングキャンプ菌法である可能性がある他のMarketingCampaign特性を集約することによって形成されるマーケティングキャンペング特性の一種。,Market Sales Domain,1,Marketing Campaign ABE
MarketingCampaign,MarketingCampaign,ProductOfferingの発売または再開がどのようになるかの描写が行われます。,Market Sales Domain,1,Marketing Campaign ABE
