FROM_TABLE,FROM_KEY,TO_TABLE,TO_KEY,SOURCE,MATURITY_LEVEL,MEMO
SID_BE,CompetitiveTier,SID_ABE,Competitor ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_BE,Competitor,SID_ABE,Competitor ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_BE,CompetitorMarketSegment,SID_ABE,Competitor ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_BE,CompetitorMarketSegmentSWOT,SID_ABE,Competitor ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_BE,CompetitorSWOT,SID_ABE,Competitor ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_BE,CompetitorTier,SID_ABE,Competitor ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_BE,SWOT,SID_ABE,Competitor ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_BE,AtomicCompIntelCharacteristic,SID_ABE,Competitor Intelligence ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_BE,CompetitorIntelCharacteristic,SID_ABE,Competitor Intelligence ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_BE,CompetitorIntelCharacteristicValue,SID_ABE,Competitor Intelligence ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_BE,CompetitorIntelligence,SID_ABE,Competitor Intelligence ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_BE,CompetitorIntelligenceMarketSegment,SID_ABE,Competitor Intelligence ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_BE,CompetitorIntelligencePartyRole,SID_ABE,Competitor Intelligence ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_BE,CompositeCompIntelCharacteristic,SID_ABE,Competitor Intelligence ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_BE,AtomicCompProdCorrelationCharacteristic,SID_ABE,Competitor Product Correlation ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_BE,CompProdCorCharacteristicValue,SID_ABE,Competitor Product Correlation ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_BE,CompProdCorrelationCharacteristic,SID_ABE,Competitor Product Correlation ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_BE,CompetitorProductCorrelation,SID_ABE,Competitor Product Correlation ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_BE,CompositeCompProdCorrelationCharacteristic,SID_ABE,Competitor Product Correlation ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_BE,MarketStrategy,SID_ABE,Market & Sales Strategy Plan ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_BE,MarketingManager,SID_ABE,Market Sales Party Roles ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_BE,SalesAgent,SID_ABE,Market Sales Party Roles ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_BE,AtomicMarketStatistic,SID_ABE,Market Sales Statistics ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_BE,CompositeMarketStatistic,SID_ABE,Market Sales Statistics ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_BE,MarketStatistic,SID_ABE,Market Sales Statistics ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_BE,AtomicMarketSegment,SID_ABE,Market Segment ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_BE,AtomicMarketSegmentCharacteristic,SID_ABE,Market Segment ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_BE,CompositeMarketSegment,SID_ABE,Market Segment ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_BE,CompositeMarketSegmentCharacteristic,SID_ABE,Market Segment ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_BE,MarketSegment,SID_ABE,Market Segment ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_BE,MarketSegmentCharacteristic,SID_ABE,Market Segment ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_BE,MarketSegmentCharacteristicValue,SID_ABE,Market Segment ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_BE,AtomicMarketingCampaignCharacteristic,SID_ABE,Marketing Campaign ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_BE,CompositeMarketingCampaignCharacteristic,SID_ABE,Marketing Campaign ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_BE,MarketingCampaign,SID_ABE,Marketing Campaign ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_BE,MarketingCampaignCharacteristic,SID_ABE,Marketing Campaign ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_BE,MarketingCampaignCharacteristicValue,SID_ABE,Marketing Campaign ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_BE,SalesChannel,SID_ABE,Sales Channel ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_BE,SalesCommission,SID_ABE,Sales Commission ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_BE,SalesCommissionRule,SID_ABE,Sales Commission ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_BE,SalesCommissionSpecification,SID_ABE,Sales Commission ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_BE,SalesCommissionSpecificationType,SID_ABE,Sales Commission ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_BE,AppliedCustomerBillingAllowance,SID_ABE,Applied Customer Billing Rate ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_BE,AppliedCustomerBillingCharge,SID_ABE,Applied Customer Billing Rate ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_BE,AppliedCustomerBillingCredit,SID_ABE,Applied Customer Billing Rate ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_BE,AppliedCustomerBillingDiscount,SID_ABE,Applied Customer Billing Rate ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_BE,AppliedCustomerBillingProductAlteration,SID_ABE,Applied Customer Billing Rate ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_BE,AppliedCustomerBillingProductCharge,SID_ABE,Applied Customer Billing Rate ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_BE,AppliedCustomerBillingProductOneTimeCharge,SID_ABE,Applied Customer Billing Rate ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_BE,AppliedCustomerBillingProductRecurringCharge,SID_ABE,Applied Customer Billing Rate ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_BE,AppliedCustomerBillingProductUsageRate,SID_ABE,Applied Customer Billing Rate ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_BE,AppliedCustomerBillingRate,SID_ABE,Applied Customer Billing Rate ABE,Information_Framework_SID_Excel_Format_v21.0,4,
