FROM_TABLE,FROM_KEY,TO_TABLE,TO_KEY,SOURCE,MATURITY_LEVEL,MEMO
ODA_Functional_Blocks,PM,eTOM,1.1.1,GB1022,4,
ODA_Functional_Blocks,PM,eTOM,1.1.2,GB1022,4,
ODA_Functional_Blocks,PM,eTOM,1.1.3,GB1022,4,
ODA_Functional_Blocks,PM,eTOM,1.1.5,GB1022,4,
ODA_Functional_Blocks,PM,eTOM,1.1.8,GB1022,4,
ODA_Functional_Blocks,PM,eTOM,1.1.9,GB1022,4,
ODA_Functional_Blocks,PM,eTOM,1.1.11,GB1022,4,
ODA_Functional_Blocks,PM,eTOM,1.1.14,GB1022,4,
ODA_Functional_Blocks,PM,eTOM,1.1.16,GB1022,4,
ODA_Functional_Blocks,PM,eTOM,1.1.17,GB1022,4,
ODA_Functional_Blocks,PM,eTOM,1.3.2,GB1022,4,
ODA_Functional_Blocks,PM,eTOM,1.3.4,GB1022,4,
ODA_Functional_Blocks,PM,eTOM,1.3.5,GB1022,4,
ODA_Functional_Blocks,PM,eTOM,1.3.6,GB1022,4,
ODA_Functional_Blocks,PM,eTOM,1.3.9,GB1022,4,
ODA_Functional_Blocks,PM,eTOM,1.3.10,GB1022,4,
ODA_Functional_Blocks,PM,eTOM,1.3.11,GB1022,4,
ODA_Functional_Blocks,PM,eTOM,1.3.15,GB1022,4,
ODA_Functional_Blocks,PM,eTOM,1.3.16,GB1022,4,
ODA_Functional_Blocks,PM,eTOM,1.6.1,GB1022,4,
ODA_Functional_Blocks,PM,eTOM,1.6.2,GB1022,4,
ODA_Functional_Blocks,PM,eTOM,1.6.3,GB1022,4,
ODA_Functional_Blocks,PM,eTOM,1.6.5,GB1022,4,
ODA_Functional_Blocks,PM,eTOM,1.6.7,GB1022,4,
ODA_Functional_Blocks,PM,eTOM,1.6.9,GB1022,4,
ODA_Functional_Blocks,PM,eTOM,1.6.13,GB1022,4,
ODA_Functional_Blocks,PM,eTOM,1.6.14,GB1022,4,
ODA_Functional_Blocks,PM,eTOM,1.6.15,GB1022,4,
ODA_Functional_Blocks,PM,eTOM,1.6.16,GB1022,4,
ODA_Functional_Blocks,PM,eTOM,1.6.20,GB1022,4,
ODA_Functional_Blocks,PM,eTOM,1.6.21,GB1022,4,
ODA_Functional_Blocks,PM,eTOM,1.X.Y,GB1022,4,
ODA_Functional_Blocks,CCM,eTOM,1.1.5,GB1022,4,
ODA_Functional_Blocks,CCM,eTOM,1.1.9,GB1022,4,
ODA_Functional_Blocks,CCM,eTOM,1.1.19,GB1022,4,
ODA_Functional_Blocks,CCM,eTOM,1.2.1,GB1022,4,
ODA_Functional_Blocks,CCM,eTOM,1.2.2,GB1022,4,
ODA_Functional_Blocks,CCM,eTOM,1.2.5,GB1022,4,
ODA_Functional_Blocks,CCM,eTOM,1.2.7,GB1022,4,
ODA_Functional_Blocks,CCM,eTOM,1.2.8,GB1022,4,
ODA_Functional_Blocks,CCM,eTOM,1.2.9,GB1022,4,
ODA_Functional_Blocks,CCM,eTOM,1.2.11,GB1022,4,
ODA_Functional_Blocks,CCM,eTOM,1.2.15,GB1022,4,
ODA_Functional_Blocks,CCM,eTOM,1.2.16,GB1022,4,
ODA_Functional_Blocks,CCM,eTOM,1.2.17,GB1022,4,
ODA_Functional_Blocks,CCM,eTOM,1.2.18,GB1022,4,
ODA_Functional_Blocks,CCM,eTOM,1.3.3,GB1022,4,
ODA_Functional_Blocks,CCM,eTOM,1.3.7,GB1022,4,
