FROM_TABLE,FROM_KEY,TO_TABLE,TO_KEY,SOURCE,MATURITY_LEVEL,MEMO
TAM,6.3.4.3,Functions,938,GB929F,1,
TAM,6.3.9.3.4,Functions,735,GB929F,1,
TAM,5.19.2,Functions,46,GB929F,1,
TAM,5.9.3,Functions,730,GB929F,1,
TAM,5.9.3,Functions,728,GB929F,1,
TAM,5.9.1,Functions,28,GB929F,1,
TAM,5.9.1,Functions,26,GB929F,1,
TAM,5.9.1,Functions,27,GB929F,1,
TAM,5.9.1,Functions,25,GB929F,1,
TAM,5.9.1,Functions,29,GB929F,1,
TAM,9.3.1.3,Functions,812,GB929F,1,
TAM,9.3.1.3,Functions,811,GB929F,1,
TAM,9.3.9,Functions,865,GB929F,1,
TAM,9.3.4,Functions,838,GB929F,1,
TAM,9.3.1.3,Functions,813,GB929F,1,
TAM,5.9.1,Functions,35,GB929F,1,
TAM,9.3.9,Functions,866,GB929F,1,
TAM,9.6.5.2,Functions,1009,GB929F,1,
TAM,6.3.7,Functions,583,GB929F,1,
TAM,9.9.3,Functions,946,GB929F,1,
TAM,5.9.1,Functions,30,GB929F,1,
TAM,9.3.11,Functions,873,GB929F,1,
TAM,9.3.4,Functions,840,GB929F,1,
TAM,5.10.2,Functions,301,GB929F,1,
TAM,7.10.2,Functions,420,GB929F,1,
TAM,9.5.4,Functions,904,GB929F,1,
TAM,9.5.4,Functions,903,GB929F,1,
TAM,5.4.1,Functions,260,GB929F,1,
TAM,10.3.1,Functions,680,GB929F,1,
TAM,10.3,Functions,686,GB929F,1,
TAM,10.3,Functions,689,GB929F,1,
TAM,10.3.1,Functions,677,GB929F,1,
TAM,10.3,Functions,677,GB929F,1,
TAM,10.3.1,Functions,682,GB929F,1,
TAM,10.3.1,Functions,681,GB929F,1,
TAM,10.3,Functions,681,GB929F,1,
TAM,10.3.1,Functions,683,GB929F,1,
TAM,10.3.1,Functions,684,GB929F,1,
TAM,10.3.1,Functions,678,GB929F,1,
TAM,10.3.1,Functions,985,GB929F,1,
TAM,10.3.1,Functions,679,GB929F,1,
TAM,10.3,Functions,679,GB929F,1,
TAM,10.3,Functions,669,GB929F,1,
TAM,10.3,Functions,685,GB929F,1,
TAM,10.3.2,Functions,688,GB929F,1,
TAM,10.3,Functions,688,GB929F,1,
TAM,10.3,Functions,687,GB929F,1,
TAM,9.11.5,Functions,1025,GB929F,1,
TAM,9.5.2,Functions,898,GB929F,1,
TAM,5.2.4,Functions,305,GB929F,1,
TAM,5.17.6,Functions,97,GB929F,1,
TAM,5.2.4,Functions,307,GB929F,1,
TAM,5.2.4,Functions,306,GB929F,1,
TAM,5.4.1,Functions,180,GB929F,1,
TAM,9.3.10,Functions,870,GB929F,1,
TAM,9.5.2,Functions,900,GB929F,1,
TAM,8.3,Functions,659,GB929F,1,
TAM,7.11.4,Functions,516,GB929F,1,
TAM,7.11.5,Functions,516,GB929F,1,
TAM,6.8.4,Functions,581,GB929F,1,
TAM,3.10.1,Functions,930,GB929F,1,
TAM,9.2.8,Functions,787,GB929F,1,
TAM,9.2.8,Functions,786,GB929F,1,
TAM,5.5.11,Functions,228,GB929F,1,
TAM,5.19.2,Functions,43,GB929F,1,
TAM,5.19.2,Functions,42,GB929F,1,
TAM,5.19.2,Functions,47,GB929F,1,
TAM,5.19.2,Functions,50,GB929F,1,
TAM,5.19.2,Functions,49,GB929F,1,
TAM,5.19.2,Functions,51,GB929F,1,
TAM,9.3.9,Functions,869,GB929F,1,
TAM,5.10.1,Functions,64,GB929F,1,
TAM,5.9.4.1,Functions,321,GB929F,1,
TAM,9.3.8,Functions,859,GB929F,1,
TAM,5.15.1,Functions,58,GB929F,1,
TAM,5.15.1,Functions,183,GB929F,1,
TAM,5.10.3,Functions,39,GB929F,1,
TAM,5.10.3,Functions,37,GB929F,1,
TAM,5.10.3,Functions,38,GB929F,1,
TAM,5.10.1,Functions,65,GB929F,1,
TAM,5.13.1,Functions,77,GB929F,1,
TAM,5.13.2,Functions,71,GB929F,1,
TAM,5.13.2,Functions,72,GB929F,1,
TAM,5.13.2,Functions,73,GB929F,1,
TAM,5.13.1,Functions,76,GB929F,1,
TAM,5.13.1,Functions,75,GB929F,1,
TAM,5.15.5,Functions,316,GB929F,1,
TAM,5.20.1,Functions,89,GB929F,1,
TAM,5.20.1,Functions,83,GB929F,1,
TAM,5.20.2,Functions,78,GB929F,1,
TAM,5.20.2,Functions,79,GB929F,1,
TAM,5.20.2,Functions,80,GB929F,1,
TAM,5.20.1,Functions,88,GB929F,1,
TAM,5.20.1,Functions,90,GB929F,1,
TAM,5.20.1,Functions,85,GB929F,1,
TAM,5.20.1,Functions,86,GB929F,1,
TAM,5.20.1,Functions,87,GB929F,1,
TAM,5.15.1,Functions,57,GB929F,1,
TAM,5.9.1,Functions,32,GB929F,1,
TAM,3.4.3,Functions,399,GB929F,1,
TAM,3.4.5,Functions,399,GB929F,1,
TAM,5.2.1,Functions,330,GB929F,1,
TAM,10.2,Functions,674,GB929F,1,
TAM,9.3.5,Functions,845,GB929F,1,
TAM,9.5.1.2,Functions,897,GB929F,1,
TAM,9.4.1.1,Functions,876,GB929F,1,
TAM,,Functions,697,GB929F,1,
TAM,,Functions,696,GB929F,1,
TAM,,Functions,705,GB929F,1,
TAM,,Functions,690,GB929F,1,
TAM,,Functions,691,GB929F,1,
TAM,,Functions,700,GB929F,1,
TAM,,Functions,700,GB929F,1,
TAM,,Functions,704,GB929F,1,
TAM,,Functions,701,GB929F,1,
TAM,,Functions,694,GB929F,1,
