ID,LEVEL,PARENT,NAME,TYPE,FUNCID,CATEGORY,DESCRIPTION,FUNCTION,MATURITY_LEVEL,SWAGGER,SPECIFICATION,CONFORMANCE_PROFILE,CTK,SAMPLE IMPLEMENTATION CODE,POSTMAN COLLECTION,RELEASE,VERSION,LIFECYCLE STATUS
top,1,,TM Forum Open APIs,,,,,,,,,,,,,,,
TMF666,2,top,Account Management API,,,,"Provides standardized mechanism for the management of billing and settlement accounts, as well as for financial accounting (account receivable) either in B2B or B2B2C contexts",,,,,,,,,"19.0.1
(v4.0.0)

2020/09/03 
CTK updated",,Production
TMF651,2,top,Agreement Management API,,,,"The Agreement API provides a standardized mechanism for managing agreements, especially in the context of partnerships between partners.",,,,,,,,,"19.0.1
(v4.0.0)",,Production
TMF915,2,top,AI Management API Component Suite,,,,"The API Component Suite for AI Management defines the set of operations that should be offered in order that a Service Provider can govern Artificial Intelligence systems deployed at scale. Effective governance and management of AI must span the lifecycle from design through deployment and eventual withdrawal from service. However, the initial focus of the AI Management API is restricted to the in-life aspects of AI and in particular on the management of ‘model contracts’.",,,,,,,,,"20.5.0
(v4.0.0)",,Production
TMF642,2,top,Alarm Management API,,,,"The Alarm Management API applies lessons that were learned in previous generations of similar APIs that were implemented in the Telecommunication industry, starting from ITU recommendations,, TM Forum OSS/J, MTOSI and TIP interfaces, NGMN alignment initiative between 3GPP and TM Forum interfaces, and the more recent ETSI work on requirements for NFV interfaces.",,,,,,Not yet available,Not yet available,Not yet available,17.0.1,,Production
TMF646,2,top,Appointment API,,,,"The appointment API provides a standardized mechanism to book an appointment with all the necessary appointment characteristics. The API allows searching of free slots based on parameters, as for example a party, then creating the appointment. The appointment has characteristics such as nature of appointment, place of appointment.",,,,,,,,,"19.0.1
(v4.0.0)",,Production
TMF655,2,top,Change Management API,,,,The Change Management API provides standard integration capabilities between external applications and Change Management Application. The API consists of a simple set of operations that interact with a Change Request in a consistent manner.,,,,,,Not yet available,Not yet available,Not yet available,18.0.1,,Production
TMF681,2,top,Communication API,,,,"Provides a capability to create and send communications, notifications, and instructions to Parties, Individuals, Organizations or Users.",,,,,,,,,"20.5.0
(v4.0.0)",,Production
TMF678,2,top,Customer Bill Management API,,,,This API allows operations to find and retrieve one or several customer bills (also called invoices) produced for a customer also allows operations to find and retrieve the details of applied customer billing rates presented on a customer bill.,,,,,,,,,"20.5.0
(v4.0.0)",,Production
TMF629,2,top,Customer Management API,,,,"Provides a standardized mechanism for customer and customer account management, such as creation, update, retrieval, deletion and notification of events.",,,,,,,,,"19.0.1
(v4.0.0)

2020/09/21 
CTK updated",,Production
TMF667,2,top,Document Management API,,,,Provides the operations to synchronize documents and document versions across systems. It also provides operations for uploading documents by Users as well as for viewing of documents online,,,,,,,Not yet available,Not yet available,17.0.1,,Production
TMF662,2,top,Entity Catalog Management API,,,,"The entity catalog is intended to provide any SID entity to consumers via a catalog, with its specification and policy providing governance over its content. The API provides management of the entity specifications and their associations thru CRUD operations.",,,,,,Not yet available,Not yet available,Not yet available,17.0.1,,Production
TMF691,2,top,Federated Identity API,,,,"The management of principals of any kind (persons, objects, …) and their access to resources in an open environment which can span across different enterprise boundaries. It relies on authentication, authorization and consent mechanisms to protect privacy with a simple and easy user experience. Different parties can provide identity services (operators, social networks, GSMA, …).",,,,,,Not yet available,Not yet available,Not yet available,18.0.1,,Production
TMF673,2,top,Geographic Address Management API,,,,"Provides a standardized client interface to an Address management system. It allows looking for worldwide addresses. It can also be used to validate geographic address data, to be sure that it corresponds to a real geographic address. Finally, it can be used to look for a geographic address by: searching an area as a start (city, town ...), then zooming on the streets of this area, and finally listing all the street segments (numbers) in a street.",,,,,,Not yet available,Not yet available,Not yet available,17.5.1,,Production
TMF675,2,top,Geographic Location Management API,,,,"Provides the information of a geographic region of the entity (customer, equipment, address).",,,,,,Not yet available,Not yet available,Not yet available,17.5.1,,Production
TMF674,2,top,Geographic Site Management API,,,,"Covers the operations to manage (create, read, delete) sites that can be associated with a customer, account, service delivery or other entities. This API defines a Site as a convenience class that allows easy reference to places important to other entities, where a geographic place is an entity that can answer the question “where?”",,,,,,,,,"20.5.0
(v4.0.0)",,Production
TMF658,2,top,Loyalty Management API,,,,"Supports the management of loyalty program specifications, loyalty program members, their associated products and loyalty accounts with loyalty balances",,,,,,Not yet available,Not yet available,,17.0.1,,Production
TMF909,2,top,Network as a Service (NaaS) API Component Suite,,,,"The API Component Suite supports of a set of Operational Domains exposing and managing “Network” Services. These services are referred to as Network as a Service (NaaS) and include all services offered from a service provider including connectivity, end points, media services, etc.",,,,,Not yet available,Not yet available,,,"18.5.1
(v3.0.0)",,Production
TMF668,2,top,Partnership Type Management API,,,,"Standardized mechanisms for creating partnership types. It is one of the APIs involved in an onboarding process. Identifies a type of a partnership between parties, including the list of role types that are permitted (i.e Buyer, Seller, Developer). Role types may refer to agreement specifications to be signed by parties playing the role.
The API allows the retrieval, creation, update, and deletion of partnership type and its owned sub-resources.
",,,,,,,,,"19.0.1
(v4.0.0)",,Production
TMF683,2,top,Party Interaction Management API,,,,A User Interaction captures information about past interactions in order to re-use it in future ones. This allows agents to serve users better by knowing the steps they went through. It also allows customers to see better the actions they have performed and how they interacted with us.,,,,,,,,,"20.5.0
(v4.0.0)",,Production
TMF632,2,top,Party Management API,,,,"Provides a standardized mechanism for party management such as creation, update, retrieval, deletion and notification of events.
Party can be an individual or an organization that has any kind of relationship with the enterprise.",,,,,,,,,"19.0.1
(v4.0.0)

2020/11/04 
CTK updated",,Production
TMF669,2,top,Party Role Management API,,,,"A standardized mechanism for general party roles and includes operations such as creation, update, retrieval, deletion and notification of events. Notice that for the management of customers there is a specific Customer Management API.
Party Role management API manages the following data resources: PartyRole",,,,,,,,,"19.0.1
(v4.0.0)

2020/11/25 
CTK updated",,Production
TMF676,2,top,Payment Management API,,,,"The Payments API provides the standardized client interface to Payment Systems for notifying about performed payments or refunds. Examples of Payment API originators (clients) include Web servers, mobile app servers, Contact center dashboards or retail store systems.",,,,,,,,,"20.5.0
(v4.0.0)",,Production
TMF670,2,top,Payment Methods API,,,,"This API supports the frequently-used payment methods for the customer to choose and pay the usage, including voucher card, coupon, and money transfer.",,,,,,Not yet available,Not yet available,,17.5.1,,Production
TMF628,2,top,Performance Management API,,,,"Provides a standardized mechanism for performance management such as the creation, partial or full update and retrieval of resources involved in performance management (Measurement Production Job, Measurement Collection Job, and Ad hoc Collection). It also allows notification of events related to performance.",,,,,Not yet available,Not yet available,,Not yet available,14.5.1,,Production
TMF649,2,top,Performance Management Threshold API,,,,"Provides a standardized mechanism for performance management such as creation, partial or full update and retrieval of the resources involved in performance management (Measurement Production Job, Measurement Collection Job, and Ad hoc Collection). It allows also notification of events related to performance",,,,,Not yet available,Not yet available,Not yet available,Not yet available,17.0.1,,Production
TMF654,2,top,Prepay Balance Management API,,,,"REST API for Balance Management. It includes the model definition as well as all available operations for prepay balance management. Prepaid subscribers pay fees before using services. Therefore, the subscribers must have sufficient balances. Operators can provide multiple recharge channels for subscribers. Subscribers can pass credit between different subscriptions, therefore transferring the balance from one account to another.",,,,,,,,,"20.5.0
(v4.0.0)",,Production
TMF644,2,top,Privacy Management API,,,,"The Privacy management API provides a standardized mechanism for privacy profile types, privacy profiles and privacy agreements such as creation, update, retrieval, deletion and notification of events",,,,,,,,,"20.5.0
(v4.0.0)",,Production
TMF701,2,top,Process Flow Management API,,,,"The ProcessFlow API allows management of business process. It provides all required information to achieve business task requiring manual action:
A ProcessFlow will describe an orchestration of TaskFlow
In event-based architecture the processFlow are triggered as consequence of event
TaskFlow could be completed automatically (rules, event triggered, process delegation) or requiring manual action
Operations on taskFlow allow to update taskFlow",,,,,,Not yet available,Not yet available,Not yet available,"19.0.1
(v4.0.0)",,Production
TMF620,2,top,Product Catalog Management API,,,,Provides a standardized solution for rapidly adding partners’ products to an existing Catalog. It brings the capability for Service Providers to directly feed partners systems with the technical description of the products they propose to them.,,,,,,,,,"21.0.0
(v4.1.0)

2020/08/17 
CTK updated",,Production
TMF637,2,top,Product Inventory Management API,,,,"Provides standardized mechanism for product inventory management such as creation, partial or full update and retrieval of the representation of a product in the inventory. It also allows the notification of events related to product lifecycle.",,,,,,,,,"19.0.1
(v4.0.0)
2020/12/13 
CTK updated",,Production
TMF679,2,top,Product Offering Qualification API,,,,Product Offering Qualification API is one of Pre-Ordering Management API Family. Product Offering Qualification API goal is to provide Product Offering commercial eligibility.,,,,,,,,,"19.0.1
(v4.0.0)",,Production
TMF622,2,top,Product Ordering API,,,,"Provides a standardized mechanism for placing a product order with all of the necessary order parameters. The API consists of a simple set of operations that interact with CRM/Order negotiation systems in a consistent manner. A product order is created based on a product offering that is defined in a catalog. The product offering identifies the product or set of products that are available to a customer and includes characteristics such as pricing, product options and market.",,,,,,,,,"19.0.1
(v4.0.0)
2021/01/18 
CTK updated",,Production
